ImageID,ID,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
frame_000000,1,tomato_flower,1,0.4675925926,0.4954351852,0.5001822917,0.51825,0,-1,-1,-1,-1
frame_000000,2,tomato_flower,1,0.5282592593,0.562462963,0.4531666667,0.474640625,0,-1,-1,-1,-1
frame_000000,3,tomato_flower,1,0.5030185185,0.5401944444,0.1270885417,0.1449791667,0,-1,-1,-1,-1
frame_000000,4,tomato_flower,1,0.5401944444,0.5819259259,0.1219739583,0.146375,0,-1,-1,-1,-1
frame_000000,5,tomato_flower,1,0.5312314815,0.5520555556,0.4258385417,0.443125,0,-1,-1,-1,-1
frame_000000,6,tomato_flower,1,0.570462963,0.5961666667,0.424890625,0.446171875,0,-1,-1,-1,-1
frame_000000,7,tomato_flower,1,0.530962963,0.5470277778,0.2118958333,0.220265625,0,-1,-1,-1,-1
frame_000000,8,tomato_flower,1,0.5162314815,0.553,0.1531145833,0.1696145833,0,-1,-1,-1,-1
frame_000000,9,tomato_flower,1,0.7288796296,0.7624259259,0.49696875,0.51584375,0,-1,-1,-1,-1
frame_000000,10,tomato_flower,1,0.5272685185,0.5560185185,0.4975052083,0.5153489583,0,-1,-1,-1,-1
frame_000000,11,tomato_flower,1,0.8516574074,0.890212963,0.4696614583,0.5013854167,0,-1,-1,-1,-1
frame_000000,12,tomato_flower,1,0.6025185185,0.6753333333,0.4471770833,0.482109375,0,-1,-1,-1,-1
frame_000000,13,tomato_flower,1,0.6097314815,0.6718333333,0.3843333333,0.427703125,0,-1,-1,-1,-1
frame_000000,14,tomato_flower,1,0.6089444444,0.6753333333,0.426296875,0.45440625,0,-1,-1,-1,-1
frame_000000,15,tomato_flower,1,0.5190648148,0.5315555556,0.2129010417,0.221265625,0,-1,-1,-1,-1
frame_000010,16,tomato_flower,1,0.5012777778,0.535787037,0.1309166667,0.147984375,0,-1,-1,-1,-1
frame_000010,17,tomato_flower,1,0.535787037,0.5798055556,0.123890625,0.1493229167,0,-1,-1,-1,-1
frame_000010,18,tomato_flower,1,0.5156388889,0.5520462963,0.1567291667,0.1715885417,0,-1,-1,-1,-1
frame_000010,19,tomato_flower,1,0.6015277778,0.6808518519,0.384734375,0.4265625,0,-1,-1,-1,-1
frame_000010,20,tomato_flower,1,0.6154074074,0.6788611111,0.4251666667,0.454171875,0,-1,-1,-1,-1
frame_000010,21,tomato_flower,1,0.6056944444,0.6785648148,0.4473125,0.4807708333,0,-1,-1,-1,-1
frame_000010,22,tomato_flower,1,0.5709907407,0.5962777778,0.4244427083,0.4475885417,0,-1,-1,-1,-1
frame_000010,23,tomato_flower,1,0.5328148148,0.5526481481,0.4258385417,0.4422916667,0,-1,-1,-1,-1
frame_000010,24,tomato_flower,1,0.5293518519,0.5635555556,0.4534427083,0.474359375,0,-1,-1,-1,-1
frame_000010,25,tomato_flower,1,0.5253611111,0.5563518519,0.4979479167,0.5146770833,0,-1,-1,-1,-1
frame_000010,26,tomato_flower,1,0.4695925926,0.4968611111,0.502359375,0.515609375,0,-1,-1,-1,-1
frame_000010,27,tomato_flower,1,0.7301111111,0.7677037037,0.4973645833,0.514328125,0,-1,-1,-1,-1
frame_000010,28,tomato_flower,1,0.8523981481,0.892462963,0.4676197917,0.5013177083,0,-1,-1,-1,-1
frame_000010,29,tomato_flower,1,0.5193981481,0.5333425926,0.2136145833,0.2213489583,0,-1,-1,-1,-1
frame_000020,30,tomato_flower,1,0.5148148148,0.5509259259,0.15625,0.1731770833,0,-1,-1,-1,-1
frame_000020,31,tomato_flower,1,0.6,0.6787037037,0.3838541667,0.4255208333,0,-1,-1,-1,-1
frame_000020,32,tomato_flower,1,0.6148148148,0.6777777778,0.425,0.4536458333,0,-1,-1,-1,-1
frame_000020,33,tomato_flower,1,0.6055555556,0.6777777778,0.4463541667,0.4796875,0,-1,-1,-1,-1
frame_000020,34,tomato_flower,1,0.5703703704,0.5953703704,0.4234375,0.4463541667,0,-1,-1,-1,-1
frame_000020,35,tomato_flower,1,0.5314814815,0.5509259259,0.425,0.4411458333,0,-1,-1,-1,-1
frame_000020,36,tomato_flower,1,0.5287037037,0.562037037,0.453125,0.4739583333,0,-1,-1,-1,-1
frame_000020,37,tomato_flower,1,0.5259259259,0.5564814815,0.4979166667,0.5145833333,0,-1,-1,-1,-1
frame_000020,38,tomato_flower,1,0.4694444444,0.4962962963,0.5020833333,0.5151041667,0,-1,-1,-1,-1
frame_000020,39,tomato_flower,1,0.7287037037,0.7657407407,0.496875,0.5146875,0,-1,-1,-1,-1
frame_000020,40,tomato_flower,1,0.8518518519,0.8916666667,0.4671875,0.5005208333,0,-1,-1,-1,-1
frame_000020,41,tomato_flower,1,0.5203703704,0.5342592593,0.2140625,0.2213541667,0,-1,-1,-1,-1
