ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
frame_000000,,tomato_flower,1,0.4675925925925926,0.49543518518518526,0.5001822916666667,0.51825,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.5282592592592592,0.5624629629629629,0.45316666666666666,0.474640625,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.5030185185185185,0.5401944444444444,0.12708854166666667,0.1449791666666667,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.5401944444444444,0.581925925925926,0.12197395833333333,0.146375,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.5312314814814815,0.5520555555555556,0.4258385416666667,0.443125,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.570462962962963,0.5961666666666667,0.42489062499999997,0.446171875,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.530962962962963,0.5470277777777778,0.2118958333333333,0.22026562500000002,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.5162314814814815,0.553,0.15311458333333333,0.16961458333333335,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.7288796296296297,0.7624259259259258,0.49696874999999996,0.5158437499999999,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.5272685185185185,0.5560185185185185,0.49750520833333334,0.5153489583333334,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.8516574074074074,0.8902129629629629,0.46966145833333334,0.5013854166666667,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.6025185185185186,0.6753333333333333,0.44717708333333334,0.482109375,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.6097314814814815,0.6718333333333334,0.3843333333333333,0.427703125,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.6089444444444444,0.6753333333333333,0.426296875,0.45440625,0,-1,-1,-1,-1
frame_000000,,tomato_flower,1,0.5190648148148148,0.5315555555555556,0.21290104166666665,0.221265625,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.5012777777777778,0.535787037037037,0.13091666666666668,0.147984375,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.535787037037037,0.5798055555555556,0.123890625,0.14932291666666667,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.5156388888888889,0.5520462962962963,0.15672916666666667,0.17158854166666665,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.6015277777777778,0.6808518518518519,0.384734375,0.4265625,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.6154074074074074,0.678861111111111,0.4251666666666667,0.454171875,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.6056944444444444,0.6785648148148148,0.4473125,0.48077083333333337,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.5709907407407407,0.5962777777777778,0.4244427083333333,0.4475885416666667,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.5328148148148149,0.5526481481481481,0.4258385416666667,0.4422916666666667,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.5293518518518519,0.5635555555555556,0.45344270833333333,0.47435937499999997,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.5253611111111111,0.5563518518518519,0.49794791666666666,0.5146770833333333,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.4695925925925926,0.49686111111111114,0.5023593749999999,0.515609375,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.730111111111111,0.7677037037037037,0.4973645833333334,0.514328125,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.8523981481481482,0.892462962962963,0.4676197916666667,0.5013177083333333,0,-1,-1,-1,-1
frame_000010,,tomato_flower,1,0.5193981481481482,0.5333425925925925,0.21361458333333333,0.22134895833333335,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.5148148148148148,0.5509259259259259,0.15625,0.17317708333333334,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.6,0.6787037037037037,0.38385416666666666,0.42552083333333335,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.6148148148148148,0.6777777777777778,0.425,0.45364583333333336,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.6055555555555555,0.6777777777777778,0.44635416666666666,0.4796875,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.5703703703703704,0.5953703703703703,0.4234375,0.44635416666666666,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.5314814814814814,0.5509259259259259,0.425,0.44114583333333335,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.5287037037037037,0.562037037037037,0.453125,0.4739583333333333,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.5259259259259259,0.5564814814814815,0.4979166666666667,0.5145833333333333,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.46944444444444444,0.4962962962962963,0.5020833333333333,0.5151041666666667,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.7287037037037037,0.7657407407407407,0.496875,0.5146875000000001,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.8518518518518519,0.8916666666666667,0.4671875,0.5005208333333333,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.5203703703703704,0.5342592592592592,0.2140625,0.22135416666666666,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.5344907407407408,0.5788981481481482,0.126265625,0.15105208333333334,0,-1,-1,-1,-1
frame_000020,,tomato_flower,1,0.5000648148148149,0.5365555555555556,0.13227083333333334,0.14969791666666668,0,-1,-1,-1,-1
frame_000030,,tomato_flower,1,0.512962962962963,0.549074074074074,0.1578125,0.17447916666666666,0,-1,-1,-1,-1
frame_000030,,tomato_flower,1,0.6018518518518519,0.6805555555555556,0.38385416666666666,0.42552083333333335,0,-1,-1,-1,-1
frame_000030,,tomato_flower,1,0.6157407407407407,0.6787037037037037,0.4244791666666667,0.453125,0,-1,-1,-1,-1
frame_000030,,tomato_flower,1,0.6064814814814815,0.6787037037037037,0.44635416666666666,0.4796875,0,-1,-1,-1,-1
frame_000030,,tomato_flower,1,0.5712962962962963,0.5962962962962963,0.4234375,0.44635416666666666,0,-1,-1,-1,-1
frame_000030,,tomato_flower,1,0.5324074074074074,0.5518518518518518,0.425,0.44114583333333335,0,-1,-1,-1,-1
frame_000030,,tomato_flower,1,0.5287037037037037,0.562037037037037,0.453125,0.4739583333333333,0,-1,-1,-1,-1
frame_000030,,tomato_flower,1,0.5259259259259259,0.5564814814814815,0.4979166666666667,0.5145833333333333,0,-1,-1,-1,-1
frame_000030,,tomato_flower,1,0.4703703703703704,0.49722222222222223,0.5026041666666666,0.515625,0,-1,-1,-1,-1
